decile,n,positives,avg_proba,response_rate,lift
0,120,116,0.9696186215395177,0.9666666666666667,1.5121609798775153
1,119,114,0.9048305750232322,0.957983193277311,1.4985773837093894
2,119,98,0.8353256949672384,0.8235294117647058,1.2882507333642117
3,119,91,0.7662950004705932,0.7647058823529411,1.1962328238381967
4,119,83,0.7044157641225265,0.6974789915966386,1.091069498665608
5,119,74,0.63799150854413,0.6218487394957983,0.9727607578464457
6,119,66,0.567457404278542,0.5546218487394958,0.867597432673857
7,119,55,0.4776710374293251,0.46218487394957986,0.7229978605615475
8,119,38,0.34831827748897254,0.31932773109243695,0.4995257945697964
9,120,27,0.20970495515659432,0.225,0.3519685039370079
