CustomerID,Recency,Frequency,Monetary,WillPurchaseNext,Monetary_log
12346,185,11,372.86,1,5.923881395784186
12608,60,1,415.79,0,6.03258249782888
12745,142,2,723.85,0,6.585964736896907
12746,196,1,254.55,0,5.543418085214289
12747,25,16,5080.53,1,8.533367676328966
12748,21,144,22879.66,1,10.038047291231537
12749,55,4,2806.48,1,7.940042562811623
12777,113,1,519.45,0,6.254693821961477
12819,114,1,540.52,0,6.294380000200352
12820,53,7,1747.18,1,7.466330525742312
12821,267,1,128.08,1,4.860432367183761
12823,50,13,4742.0,1,8.464425125877582
12825,177,2,518.63,0,6.253117019850299
12826,21,6,1481.03,1,7.301168048566127
12829,206,1,92.3,1,4.535820107853298
12831,119,2,236.06,1,5.468313273651354
12835,83,41,6043.31,0,8.706872612613385
12836,45,11,3972.76,1,8.287468028736473
12837,225,1,554.31,1,6.3195265163692245
12838,29,9,2715.35,1,7.907044346355461
12839,23,13,4480.31,1,8.407670693379636
12840,93,3,1315.2,1,7.182504076022019
12841,25,17,3518.33,1,8.166025909565922
12842,60,2,799.0,1,6.684611727667927
12843,38,22,4886.15,1,8.494364590476216
12844,98,2,322.64,1,5.779631786939639
12846,338,1,15.58,0,2.8081971497071487
12847,43,1,765.36,1,6.641652033227792
12848,331,1,208.0,0,5.342334251964811
12849,37,4,2039.67,1,7.621033464289034
12850,101,1,330.0,0,5.802118375377063
12851,133,1,148.95,1,5.010301905195018
12853,83,5,1950.4,1,7.576302342673849
12854,217,4,1669.52,1,7.420890234188477
12855,28,4,612.84,1,6.41973430786941
12857,92,4,2581.6,1,7.856551922412551
12858,39,1,177.92,0,5.186938778564647
12859,114,1,575.1,0,6.356281256738337
12860,349,1,55.47,0,4.033709523684745
12861,275,1,68.25,0,4.237723145067448
12862,81,2,1008.32,0,6.917032115762346
12863,35,5,2271.35,1,7.728569817272442
12864,164,1,152.45,1,5.033374781065745
12867,53,6,3876.47,1,8.262938158076857
12868,29,3,640.0,1,6.46302945692067
12869,337,1,337.67,0,5.825026181941565
12870,31,3,1676.95,0,7.42532808920537
12871,95,1,363.38,1,5.8981972791375386
12872,21,11,3085.52,1,8.03479952164448
12873,53,2,1653.3,1,7.411133237612971
12875,127,3,1013.76,1,6.9224074103144515
12877,57,8,1419.4,1,7.258693801068933
12880,37,2,640.13,0,6.463232244470209
12887,39,1,222.4,0,5.4089638866351
12889,37,4,385.46,0,5.957028369786855
12890,43,1,336.8,1,5.8224540043737
12891,114,8,509.5,1,6.23539063760472
12892,52,1,263.38,0,5.577387462151254
12894,231,1,157.35,0,5.064807772984649
12897,37,2,297.75,1,5.699607103245721
12898,119,2,310.96,0,5.742874974462297
12899,69,1,366.4,0,5.906451172781026
12900,78,1,340.33000000000004,0,5.832849751258659
12903,84,1,833.5300000000001,0,6.726868692126177
12905,232,2,1018.42,0,6.926989117097435
12907,51,2,508.91,0,6.23423423955737
12908,36,3,1026.0,1,6.934397209928558
12909,80,3,924.52,1,6.830355741720633
12910,35,5,2721.48,1,7.909298508590968
12911,207,1,1680.47,0,7.4274236898079655
12913,24,9,4217.23,1,8.347170887764534
12914,56,1,223.98,0,5.4160115093646795
12915,28,3,811.1,1,6.699623485288365
